ACC60217,4260234830941,SYMPHONIES NO. 4-9 (BLURAY),"BRUCKNER, ANTON","BARENBOIM, STAATSKAPELLE BERLIN",ACC
2L056SACD,845829000561,BELLEZZA CRUDEL,"VIVALDI, ANTONIO",TONE WIK; BAROKKANERNE,L2L
LRCD-1083,617145108326,SEVEN LAST WORDS OF CHRIST: LE,"TOURNEMIRE, CHARLES",MARTIN JEAN,LOF
MELCD1001692,4600317116928,JAZZ COMPOSITIONS,VAGIF MUSTAFA-ZADE,JAZZ ENSEMBLES,MEL
MELCD1001938,4600317019380,DANIIL SHAFRAN COLLECTION. CEL,VARIOUS,"DANIIL SHAFRAN, CELLO",MEL
MELCD1001110,4600317011100,WILHELM FURTWÄNGLER COLLECTION,"BEETHOVEN, BRUCKNER",W. FURTWÄNGLER; BERLINER PHIL,MEL
MELCD1001959,4600317119592,"RAYMONDA, A BALLET IN THREE AC","GLAZUNOV, ALEXANDER","O. USACHEV, TRUMPET, S. KALIN",MEL
MELCD1000996,4600317009961,IBERIA,"ALBENIZ, ISAAK","E. SYOMIN, PIANO",MEL
MELCD1002312,4600317023127,CONCERT RECORDINGS,CHOPIN; DEBUSSY; LISZT; MOZART,VLADIMIR SOFRONITSKY,MEL
MOB52142,044006521428,ASTRUD GILBERTO: DIVA,,,MOB
MOB455082,100177455082,45-CD/21-DVD STACKABLE HOLDER,,,MOB
MTC5022851,783027015928,ENCORE COLLECTION 4-PACK,RUTTER; WILBERG; BECK; PERRY;,MORMON TABERNACLE CHOIR; JESSOP,MTC
NA0127,9781843797173,DECLINE AND FALL OF THE ROMAN,EDWARD GIBBON,DAVID TIMSON,NA
NA0225,9781843799481,HISTORIES,HERODOTUS,DAVID TIMSON,NA
NA445612,9789626344569,THE LIFE AND WORKS OF CHOPIN,JEREMY SIEPMANN,JEREMY SIEPMANN,NA
NAX35912,9789626343593,A TALE OF TWO CITIES,DICKENS CHARLES,READ BY ANTON LESSER,NA
NW58394,785965839420,SCOTLAND: TUNES FROM THE LOWLO,MACDONALD; LOWTHIAN; MACPHEE;,MACDONALD; LOWTHIAN; MACPHEE; CUNNINGHAM; GAUGHAN; SILEAS; BAIN; MACAS,NET
8802040,8718247710409,SEQUENZAS III & VII,"BERIO, LUCIANO",BERIO; BERBERIAN; HOLLIGER; JUILLIARD ENSEMBLE,NEW
V5343,822186053430,DOUCE FRANCE,REYNALDO HAHN; CAMILLE SAINT-S,ANNE SOFIE VON OTTER; FORSBERG; TAMESTIT; PER EKDAHL; BAGGE; LINDER; J,NVV
OP30441,709861304417,STABAT MATER,SCARLATTI; PERGOLESI,"RINALDO ALESSANDRINI, SARA MINGARDO, GEMMA BERTAGNOLLI; CONCERTO ITALI",NVV
OP30556,709861305568,V 2: CONCERTOS,"VIVALDI, ANTONIO",AZZOLINI; COIN; BERNARDINI; ONOFRI; KUIJKEN; ANTONINI; MARCHI; IL GIAR,NVV
CD704,658592070422,"MISSA PASCHALIS, MOTETTEN AND","SENFL, LUDWIG",SKINNER; LAWRENCE-KING; QUINTESSENTIAL; CHOIR OF SIDNEY SUSSEX COLLEGE,OBS
PCLD0016,5065001863356,V 3: LISZT BICENTENARY SERIES,"LISZT, FRANZ",ALFRED BRENDEL,PNC
TLS047,881488000474,VIOLIN CONCERTOS NOS. 2 & 4,"PAGANINI, NICCOLO",TURBAN; WDR RUNDFUNKORCHESTER KOLN; SHAMBADAL,PRF
VKJK 1230,4025796012309,SINFONIEN NR. 1 - 9,"BRUCKNER, ANTON",GEWANDHAUSORCHESTER LEIPZIG,QST
RTR 79002,608917900224,FERD,VARIOUS,JELLY ROLL MORTON,RTR
RTR 79068,608917906820,FASCINATING RHYTHM 1922-1935,VARIOUS,CLIFF 'UKULELE IKE' EDWARDS,RTR
CCD 1044,7393338104421,"JOSEF OTT OF SILLÉN, VIOLIN CO",JOSEF OTT OF SILLÉN,"GAVLE SYMPHONY ORCHESTRA, CHRISTIAN BERGQVIST VIOLIN, GORAN NILSON CON",STE
SU7006-9,099925700690,DESTINN EMA - THE LONELINESS O,,EMA DESTINN1:10:,SUP
93124,040888312420,SYMPHONY NO. 10 F SHARP MAJOR,"MAHLER, GUSTAV",GIELEN; SINFONIEORCHESTER BADEN-BADEN UND FREIBU,SWR
SCD1042,822359010420,AVE MARIA STELLA,"STOBAEUS, KRISTINA",VARIOUS,SWS
TC300003,8007194103816,DANZE STRUMENTALI MEDIEVALI IT,ANONYMOUS,"BARTELLONI, GASPARE ANTONIO,CANE FLUTE; FELICETTI, LUCA BRUNELLI,PERCU",TA
URN22.225,8025726222255,SYMPHONY NO. 4 & 9,"BRUCKNER, ANTON",BERLIN PHILHARMONIC ORCHESTRA; KNAPPERTSBUSCH,URA
URN22.368,8025726223689,LIFE IN OPERA,ROSSINI; DONIZETTI; VERDI,ETTORE BASTIANINI,URA
URN22.165,8025726221654,JUSSI BJORLING IN EUROPE,MEYERBEER; BIZET; PUCCINI,BJORLING; SCHYMBERG; EBERT; STOCKHOLM RADIO SYMPHONY ORCHESTRA; RIAS S,URA
URN22.170,8025726221708,SYMPOHONY NO. 4; RHAPSODY,MAHLER; BRAHMS,BARTH; ROGNER; STRASBOURG PHILHARMONIC CHORUS; ORCHESTRA PHILHARMONIQU,URA
URN22.405,8025726224051,SYMPHONY NO. 7,"BRUCKNER, ANTON",NEW YORK PHILHARMONIC; HINDEMITH,URA
WS121.236,8051773572364,TOSCA,"PUCCINI, GIACOMO",PRADELLI; TEBALDI; DEL MONACO; LONDON; ORCHESTRA DELL'ACCADEMIA DI SAN,URA
SP4235,8025726042358,PIANO CONCERTOS,BACH; RACHMANINOV,RICHTER; URSS RTV SYMPHONY ORCHESTRA; SANDERLING,URA
URN22.270,8025726222705,SOSARME,"HANDEL, GEORGE FREDERICH",DELLER; HERBERT; EVANS; RITCHIE; KENTISH; WATTS; WALLACE; SAINT ANTHON,URA
VOX 192,5030371001929,SCHUMANN: PIANO WORKS; WALTER,,,VOX OWN
VOX22,5030371000229,BEETHOVEN: MISSA SOLEMNIS; KLE,"BEETHOVEN, LUDWIG VAN","SCHUERHOFF, ELSE; STEINGRUBER, ILONA; VIENNA SYMPHONY ORCHESTRA; ; MAJ",VOX OWN
3020664212,030206642124,FAR FROM HEAVEN,VARIOUS,ELMER BERNSTEIN,VRS
3020667702,030206677027,RIDES AGAIN,VARIOUS,MALFORD MILLIGAN BAND,VRS
3020669162,030206691627,MUMMY: TOMB OF DRAGON EMPEROR,VARIOUS,RANDY EDELMAN,VRS
3020669182,030206691825,SISTERHOOD TRAVELING PANTS 2,VARIOUS,RACHEL PORTMAN,VRS
3020671302,030206713022,GOLDEN INSPIRATIONAL HYMNS,VARIOUS,ROGER WILLIAMS,VRS
3020671772,030206717723,MICROCOSMOS,VARIOUS,BRUNO COULAIS,VRS
VCL06151155,030206115581,BACK IN TIME 1985 AT THE MOVIE,VARIOUS,VARIOUS,VRS D2C
WLCD0024,4035122650242,"GIULIO CESARE - TEBALDI, NICOL",HÄNDEL,SIEPI,WAL
WLCD0313,4035122653137,"DER ROSENKAVALIER: DELLA CASA,","STRAUSS, R.",KEMPE,WAL
WER60100-50,4010228610024,"TRIO FUR VIOLINE, HORN & KLAVI","LIGETI, GYORGY",BALLISTA; BAUMANN; BESCH; CANINO; CHOJNACKA; GAWRILOFF,WGO
439021,028943902120,KARAJAN GOLD - TCHAIKOVSKY: RO,,TCHAIKOVSKY / KARAJAN / BPO,ZPPS
B000586602,028946487020,"VESPERS, ORATORIOS,",,PHILIPS,ZPPS
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
