23339-1688-2,"HILL, STEVE",Solo Recordings Vol 1 1/2,No Label Records,Rock-Pop,,623339168823,CD, $6.00 ,Nov-13
23339-2167-2,"CHOUINARD, KEVEN",Laissons nous s'aimer,Milagro,Rock-Pop,,623339216722,CD, $9.83 ,Jun-18
33651-0293-2,"CACTUS BLOSSOMS, THE",You're Dreaming,Compass Records / Red House Records,Americana,,033651029328,CD, $11.50 ,Jan-16
RHR293,"CACTUS BLOSSOMS, THE",You're Dreaming,Compass Records / Red House Records,Americana,,033651029311,LP, $22.33 ,Jan-16
THRILL459C,"SEA AND CAKE, THE",Any Day (White Vinyl),Thrill Jockey,Rock-Pop,INDIE ONLY,790377459111,LP, $18.67 ,May-18
20953-5660-2,ARAPACIS,Obsolete Continuum,Groupe Musik,Electronic,Canadian,620953566028,CD, $11.00 ,Feb-18
20953-4946-2,ARAPACIS,A Disturbing Awakening,Note Musik,Metal / Rock-Pop,,620953494628,CD, $11.00 ,Feb-16
20953-4456-2,ARAPACIS,Netherworld,Note Musik,Metal / Rock-Pop,,620953445620,CD, $11.00 ,Feb-16
20953-5397-2,ARAPACIS,System Deceive,Note Musik,Metal,,620953539725,CD, $11.00 ,Apr-16
20953-4908-2,"FAGELLI, LEONARDO ",Buona Notte,Note Musik,Electronic,,620953490828,CD, $11.00 ,IMMEDIATE
20953-4868-2,"FAGELLI, LEONARDO ",Departure,Note Musik,Electronic,,620953486821,CD, $11.00 ,IMMEDIATE
20953-4860-2,"FAGELLI, LEONARDO ",Quantum,Note Musik,Electronic,,620953486029,CD, $11.00 ,IMMEDIATE
20953-4788-2,"FAGELLI, LEONARDO ",Knight of the Pyramid,Note Musik,Electronic,,620953478826,CDx2, $11.00 ,IMMEDIATE
RELIC93,YELLOW EYES,Immersion Trench Reverie,Thrill Jockey,Black Metal,,798576902261,LP, $24.97 ,23-Feb-18
JAG322lp-C1,UNKNOWN MORTAL ORCHESTRA,Sex & Food (indie only coloured vinyl),SD / Jagjaguwar,Rock-Pop,INDIE ONLY,656605232232,LP, $16.00 ,Apr-18
AKR375,"STEVENS, SUFJAN",Tonya Harding (VERY limited),SD / Asthmatic Kitty,Rock-Pop,INDIE ONLY,656605613420,"7""", $4.50 ,Apr-18
ZEN236X,BONOBO,Migration [Deluxe Edition includes special editon Migration zine & art card set],Ninja Tune,Electronic,,5054429007145,LPx2, $32.80 ,Jan-17
ZEN248X,YOUNG FATHERS,Cocoa Sugar (limited edition indie only red vinyl version),Ninja Tune,Rock-Pop,INDIE ONLY,5054429132113,LP, $20.00 ,Mar-18
ERATP109LE,RIVAL CONSOLES,Persona (Indie only - clear vinyl),Redeye / Erased Tapes,Electronic,INDIE ONLY,4050486114476,LPx2, $26.96 ,Apr-18
SOR006,"SKATALITES, THE",Foundation Ska,Redeye / Studio One,Reggae / Ska,,634457900615,LPx2, $24.94 ,Mar-17
34457-1577-2,"SPAGHETTI, EDDIE",Extra Sauce,Redeye / Mid Fi Recordings,Rock-Pop,,634457157729,CD, $10.99 ,IMMEDIATE
34457-1677-2,"SPAGHETTI, EDDIE ",Old No. 2,Redeye / Mid-Fi Recording ,Rock-Pop,,634457167728,CD, $10.99 ,Oct-05
45121-0303-1,"SWEANY, PATRICK",That Old Southern Drag,Redeye / Nine Mile Records,Rock-Pop,,845121030310,CD, $12.96 ,Apr-14
07541-8080-2,"SWEANY, PATRICK BAND",Henryfordbedroom,Redeye / Nine Mile Records,Rock-Pop,,707541808026,CD, $10.01 ,Apr-14
95081-2027-2,"TELL-TALE HEARTS, THE",Anthology 1983-1986: High Tide (Big Noses & Pizza Faces),Redeye / Voxx Records,Rock-Pop,,095081202726,CD, $14.30 ,IMMEDIATE
56605-9577-2,THEMSELVES [Doseone and Jel],theFREEhoudini (Deluxe) [Very Limited! Individually Numbered!],Redeye / Anticon,Hip Hop,,656605957722,CD, $10.01 ,Apr-09
59656-0469-2,"TIMONY, MARY",The Shapes We Make,Redeye / Kill Rock Stars,Rock-Pop,,759656046923,CD, $12.96 ,1-May-09
34457-2008-2,TWO DOLLAR PISTOLS,Step Right Up,Yep Roc,Country,,634457200821,CD, $9.90 ,
34457-2070-2,TWO DOLLAR PISTOLS,Hands Up!,Yep Roc,Country,,634457207028,CD, $9.90 ,May-04
95081-1057-2,VARIOUS ARTISTS,Surfbeat from Behind the Iron Curtain Vol. 1,Redeye / AIP,Rock-Pop,,095081105720,CD, $14.30 ,IMMEDIATE
95081-1058-2,VARIOUS ARTISTS,Essential Pebbles Vol. 1,Redeye / AIP,Rock-Pop,,095081105829,CD, $17.97 ,IMMEDIATE
95081-4059-2,VARIOUS ARTISTS,Pop On Top,Redeye / Bomp! Records,Rock-Pop,,095081405929,CD, $12.96 ,IMMEDIATE
66017-0218-2,VARIOUS ARTISTS,Out Patients 2,Redeye / Hospital Records,Electronic,,666017021829,CDx2, $12.96 ,Jan-01
34457-2005-2,VARIOUS ARTISTS,Revival Vol.  2 - Kudzu And Hollerin' Contest,Yep Roc,Rock-Pop / Roots,,634457200524,CD, $7.87 ,Sep-01
34457-1709-2,VAST,Turquoise & Crimson,Redeye / 2Blossoms Records,Rock-Pop,,634457170926,CD, $12.96 ,IMMEDIATE
55300-3856-9,VENETIAN SNARES,Traditional Synthesizer Music,Redeye / Planet Mu / Timesig,Electronic,Canadian,5055300385697,CD, $12.96 ,Feb-16
34457-5282-2,"WOODS, MITCH",Gumbo Blues,Redeye / Vizz Tone Label Group,Blues,,634457528222,CD, $12.96 ,IMMEDIATE
58454-0032-2,BATHS,Obsidian,Redeye / Anticon,Electronic/Pop,,858454003210,CD, $12.96 ,Jun-13
60156-6503-4,NEW MODEL ARMY,Anthology (Box Set),Redeye / Attack Attack,Rock-Pop,,5060156650349,DVD, $47.77 ,IMMEDIATE
SHEATH038,AEGES,The Bridge,Redeye / The Mylene Sheath,Rock-Pop,,634457560215,LP, $13.94 ,IMMEDIATE
GBR1531,APPLEWOOD ROAD,Applewood Road (180g LP),Redeye / Gearbox Records,Rock-Pop,,5065001717352,LP, $25.83 ,2-Dec-16
SHEATH030,BEWARE OF SAFETY,Leaves/Scars (2xLP),Redeye / The Mylene Sheath,Rock-Pop,,798546267918,LPx2, $23.96 ,IMMEDIATE
RAS1111,"BLAKE, JAMES","Love What Happened Here 12""",Redeye / R&S Records,Electronic,,5055274701592,"12""", $11.98 ,Apr-13
HSH083,"BRODERICK, PETER",Home,Redeye / Hush Records,Rock-Pop,,616892026341,LP, $13.94 ,IMMEDIATE
ALIVE0086,BUFFALO KILLERS,Let it Ride LP,Redeye / Alive Records,Rock-Pop,,095081008618,LP, $18.95 ,IMMEDIATE
BRGR933,DEATH VALLEY GIRLS,Glow in the Dark,Redeye / Burger Records,Rock-Pop,,634457722415,LP, $19.93 ,Jun-16
OFR046,DISTANT CORRESPONDENT,Distant Correspondent,Redeye / Old Flame Records,Rock-Pop,,634457617414,LP, $15.20 ,Dec-13
BEST004,DISTRACTIONS,Dark Green Sea,Redeye / Infinite Best,Rock-Pop,,600197550410,LP, $10.01 ,IMMEDIATE
NSWL016,EGYPTRIXX,Water (Reduced),Redeye / Night Slugs,Rock-Pop,,5060120876577,"12""", $12.96 ,Oct-13
ZIQ338,EKOPLEKZ,Unfidelity,Redeye / Planet Mu Records Ltd,Electronic,,5055300374547,LP, $22.92 ,Mar-14
KRS464,ERASE ERRATA,Night Life,Redeye / Kill Rock Stars,Rock-Pop,,759656046411,LP, $12.96 ,1-May-09
DG027,"ERGS, THE",That's It ... Bye ,Redeye / Don Giovanni,Rock-Pop,,633757217614,"12""", $8.49 ,IMMEDIATE
AMB1503,ESKMO,SOL,Redeye / Apollo Records,Electronic,,5055274705170,LP, $20.92 ,Mar-15
MEDIC46,ETHERWOOD,"You'll Always Be A Part Of Me - 7""",Redeye / Med School,Electronic,,5060208845501,"7""", $11.98 ,Mar-15
FOF124,EVENINGS,Yore,Redeye / Friends Of Friends,Electronic,,634457699519,LP, $17.97 ,Apr-13
FFINC018,FACTOR,Lawson Graham LP,Redeye / Fake Four,Rap / Hip Hop,,616892086963,LP, $12.96 ,IMMEDIATE
BAD001,FREE WEED,Introducing,Redeye / Bad Diet,Rock-Pop,,634457674318,LP, $19.93 ,Feb-15
SLR187,GIRLS NAMES,The New Life,Redeye / Slumberland Records,Rock-Pop,,749846018717,LP, $14.96 ,26-Feb-13
KRS557,GOSPEL MUSIC,"How To Get To Heaven From Jacksonville, FL",Redeye / Kill Rock Stars,Rock-Pop,,759656055710,LP, $13.94 ,Oct-11
VOX2025,GRAVEDIGGER V,All Black and Hairy,Redeye / Voxx Records,Rock-Pop,,095081202511,LP, $16.98 ,IMMEDIATE
16892-5438-4,GROOVIE GHOULIES,World Contact Day,Redeye / Green Door Recording Co.,Punk,,616892543848,CD, $12.96 ,Feb-18
GDRC3020,GROOVIE GHOULIES,Born In The Basement (coloured vinyl),Redeye / Green Door Recording Co.,Rock-Pop,,634457727618,LP, $18.95 ,Sep-16
HMK011,HAMMOCK,Oblivion Hymns,Redeye / Hammock Music,Rock-Pop,,634457628717,LP, $25.92 ,Nov-13
GBR1506,"HARRIOTT, JOE","Partying With Joe (INDIE EXCLUSIVE - 180g 12"")",Redeye / Gearbox Records,Jazz,INDIE ONLY,5065001717055,"12""", $19.93 ,8-Apr-11
NHSS203,HIGH CONTRAST FEATURING SELAH CORBIN,The Agony & The Ecstasy,Redeye / Hospital Records,Electronic,,5060208842449,LP, $6.97 ,Feb-12
ABR0086,"HILL, ZACH [of HELLA]","Astrological Straits [features Les Claypool, No Age's Randy Randall and Dean Spunt, !!!/LCD Soundsystems' Tyler Pope and more]",Redeye / Anticon,Rock-Pop,,656605859415,LPx2, $23.24 ,Aug-08
KRS495,HORSE FEATHERS,House With No Home,Redeye / Kill Rock Stars,Rock-Pop,,759656049511,LP, $13.94 ,1-May-09
KRS510,HORSE FEATHERS,Cascade,Redeye / Kill Rock Stars,Rock-Pop,,759656051071,"7""", $5.01 ,Oct-09
TE135,IT LOOKS SAD,"It Looks Sad - 7""",Redeye / Tiny Engines,Rock-Pop,,633757251274,"7""", $8.49 ,Aug-14
PRB004,"JONES, JIM REVUE",Burning Your House Down,Redeye / Punk Rock Blues Records,Rock-Pop,,614511781725,LP, $17.97 ,IMMEDIATE
SHEATH018,JUNIUS,The Martyrdom Of A Catastrophist (2xLP),Redeye / The Mylene Sheath,Rock-Pop,,879198004080,LPx2, $22.92 ,IMMEDIATE
VGR002,"KENNIFF, KEITH",Branches,Redeye / Village Green,Electronic,,5051083067270,LP, $20.92 ,Jan-12
EHSE014,"KING, LIZZ",All Songs Go To Heaven,Redeye / Ehse Records,Rock-Pop,,634457672215,LP, $17.97 ,IMMEDIATE
KRS587,"KONDABOLU, HARI",Waiting For 2042,Redeye / Kill Rock Stars,Comedy,,759656058711,LP, $18.95 ,Dec-14
KS008,"KRAUS, CAITLIN",Caitlin Kraus,Redeye / Keeled Scales,Folk,,099651059406,"7"" ", $5.99 ,15-Jun-16
NHSS081,LOGISTICS,Spacejam EP,Redeye / Hospital Records,Electronic,,666017099361,LP, $11.98 ,Nov-10
NHSS094,LONDON ELEKTRICITY,Hanging Rock,Redeye / Hospital Records,Electronic,,666017121369,LP, $8.94 ,Sep-05
MAGICRS001,LONE,Lemurian,Redeye / R&S Records,Electronic,,5055274705613,LP, $21.92 ,Jul-15
RAS1310,LONE,Airglow Fires,Redeye / R&S Records,Electronic,,5055274702773,"12""", $10.01 ,Aug-13
YEP2444,"MANDELL, ELENI",Dark Lights Up ,Yep Roc,Rock-Pop,,634457244412,LP, $19.72 ,Jul-15
MF1401,TAKUYA MATSUMOTO,RAM EP,!K7 / Meda Fury,Electronic,,5055274703688,"12""", $14.00 ,25-Jan-11
BARK101,MENOMENA,Mines [Includes mp3 download],Redeye / Barsuk Records,Rock-Pop,,655173110119,LPx2, $21.88 ,Jul-10
YEP2052,"MINUS 5, THE",Down With Wilco,Yep Roc,Rock-Pop,,634457205215,LPx2, $23.70 ,Jun-04
APOLLO3,MODEL 500,"The Passage - 12""",Redeye / Apollo Records,Electronic,,5055274704227,"12""", $11.98 ,Jan-15
RAS1511,MOIRE,Gel EP,Redeye / R&S Records,Electronic,,5055274705972,"12""", $11.98 ,Apr-16
GRR039,MONSTER RALLY & JAY STONE,Foreign Pedestrians,Redeye / Gold Robot Records,Hip Hop / Rap,,634457667419,LP, $15.20 ,Jan-15
BEST006,MR TWIN SISTER,Vampires with Dreaming Kids,Redeye / Infinite Best,Soul / R & B / Funk,,656605786414,LP, $14.30 ,IMMEDIATE
GRON146,MUELLER-ROEDELIUS,Imagori,Redeye / Groenland Records,Electronic,,5060238631914,LP, $18.95 ,Sep-15
KS022,"NESH, MOSES",No Labor-Saving Machine,Redeye / Keeled Scales,Folk,,099651059499,LP, $19.90 ,21-Apr-17
NHSS214,NETSKY,Love Has Gone,Redeye / Hospital Records,Electronic,,5060208842869,"12"" ", $6.97 ,Jul-12
SLR057,NORD EXPRESS,Central,Redeye / Slumberland Records,Rock-Pop,,749846105714,LP, $14.96 ,1-May-97
ALIVE0117,OCCULT DETECTIVE CLUB,Crimes ,Redeye / Alive Records,Rock-Pop,,095081011717,LP, $16.09 ,IMMEDIATE
LPGSD105,OVER THE RHINE,Long Surrender,Redeye / Great Speckled Dog,Rock-Pop,,634457538412,LP, $19.93 ,Feb-11
GSD106,OVER THE RHINE,Meet Me At The Edge Of The World,Redeye / Great Speckled Dog,Rock-Pop,,634457605114,LP, $24.94 ,Sep-13
OFR055,"PHARMACY, THE",Spells,Redeye / Old Flame Records,Rock-Pop,,634457650619,LP, $18.95 ,Aug-14
KRS584,QUASI,Mole City,Redeye / Kill Rock Stars,Rock-Pop,,759656058414,LPx2, $23.96 ,Oct-13
RS001,RADIO SLAVE,Feel the Same,Redeye / Rekids,Electronic,,5060519683359,LPx3, $29.91 ,Nov-17
SA02,"RAY, GEMMA",Down Baby Down,Redeye / Bronze Rat / Series Aphonos,Rock-Pop,,5051083068048,LP+CD, $17.97 ,IMMEDIATE
KS005,REAL LIVE TIGERS,Denatured,Redeye / Keeled Scales,Folk,,099651059390,LP, $19.90 ,15-Apr-16
YEP2231,REVEREND HORTON HEAT,25 To Life (boxset),Yep Roc ,Rock-Pop,,634457223110,LPx2+DVD, $39.44 ,Aug-12
YEP2320,"RICHEY, KIM",Thorn In My Heart,Yep Roc ,Rock-Pop,,634457232013,LP+CD, $22.67 ,Apr-13
TA0117,SANDY PUSSY,Sandy Pussy,Redeye / Total Acceptance,Rock-Pop,,819162014479,LP, $18.95 ,Apr-14
BTV070,SAXON SHORE,The Exquisite Death of Saxon Shore,Redeye / Burnt Toast Vinyl,Rock-Pop,,634457166110,LP, $17.97 ,IMMEDIATE
DG030,SCREAMING FEMALES,What If Someone Is Watching Their TV?,Redeye / Don Giovanni,Rock-Pop,,634457643017,LP, $15.20 ,IMMEDIATE
AMB1506,"SHAH, NADINE",Fast Food,Redeye / Apollo Records,Electronic,,5055274705064,LP, $21.98 ,May-15
AMB1306,SHAH.NADINE,Dreary Town,Redeye / Apollo Records,Rock-Pop,,5055274702469,LP, $10.01 ,Jun-13
RAS1008,SPACE DIMENSION CONTROLLER,Temporary Thrillz (2LP),Redeye / R&S Records,Electronic,,5055274701264,LPx2, $19.93 ,Apr-13
RAS1613,SPORTING LIFE,Slam Dunk,Redeye / R&S Records,Electronic,,5055274707204,LPx2, $22.88 ,May-17
DG044,"STEVENSON, LAURA & THE CANS",Sit Resist,Redeye / Don Giovanni,Rock-Pop,,616822098417,LP, $15.20 ,IMMEDIATE
DG064,STORMSHADOW,Set On Destroy,Redeye / Don Giovanni,Rock-Pop,,633757238510,LP, $15.20 ,IMMEDIATE
MF201,TAHITI 80,Ballroom,Redeye / Minty Fresh,Rock-Pop,,796627020117,LP, $24.94 ,Dec-14
RAS1513,TALE OF US,North Star / Silent Space,Redeye / R&S Records,Electronic,,5055274706276,"12""", $11.98 ,Apr-16
BTV076,UNWED SAILOR,The Faithful Anchor ,Redeye / Burnt Toast Vinyl,Rock-Pop,,634457177918,LP, $12.96 ,IMMEDIATE
AIP6055,VARIOUS ARTISTS,Pebbles Vol. 12,Redeye / AIP,Rock-Pop,,790168605512,LP, $16.98 ,IMMEDIATE
ZIQ173,"VIBERT, LUKE",Mate Tron,Redeye / Planet Mu Records Ltd,Electronic,,600116817310,"12""", $10.01 ,IMMEDIATE
RAS1305,VONDELPARK,California Analog Dream,Redeye / R&S Records,Rock-Pop,,5055274702544,"12""", $10.01 ,Jun-13
OTS0070,"WALKER, CHARLES & BETTYE LAVETTE",Yours & Mine,Redeye / Outta Sight Records,Rock-Pop,,634457565074,"7""", $5.01 ,May-12
RAS1606,"WHITE, PAUL ft. DANNY BROWN",Accelerator/Lions Den,Redeye / R&S Records,Electronic,,5055274706733,"12""", $10.91 ,May-17
ABR0055LP,WHY?,Elephant Eyelash,Redeye / Anticon,Hip Hop / Electronic,,655035505510,LP, $15.20 ,Apr-06
ABR0128,WHY?,"Mumps, etc.",Redeye / Anticon,Rap/Alternative,,858454003111,LP, $15.20 ,Oct-12
SUND5368,"YARDBIRDS, THE",Little Games,"Redeye / Sundazed Music, Inc.",Rock-Pop,,090771536815,LP, $25.53 ,15-Dec-17
26853-0056-2,"BARRETT, PASTOR TL & THE YOUTH FOR CHRIST CHOIR",Like A Ship (Without A Sail),Light In The Attic,Soul/Funk,,826853005623,CD, $15.13 ,Jul-10
56605-3223-2,"BASINSKI, WILLIAM",The Disintegration Loops,SD / Temporary Residence,Experimental,,656605322322,CD, $12.00 ,Sep-14
LBJ72LP,BRIGHT EYES,I'm Wide Awake It's Morning,Saddle Creek ,Rock-Pop,,648401007213,LP, $21.18 ,Jan-05
39857-9101-2,"BROWN, JAMES",The Explosive James Brown,Redeye / Contrast Records,Soul / Funk / R & B,,639857910127,CD, $12.96 ,Sep-17
39857-9102-2,"BROWN, JAMES",Night Train: Mighty Instrumentals,Redeye / Contrast Records,Soul / Funk / R & B,,639857910226,CD, $12.96 ,Sep-17
90377-0163-2,CALIFONE,Roots and Crowns,Thrill Jockey,Rock-Alternative,,790377016321,CD, $14.25 ,IMMEDIATE
LITA079,"CHAPMAN, MICHAEL",Rainmaker,Light In The Attic,Folk-Rock,,826853007917,LP, $22.00 ,Jan-12
LITA101,"CHAPMAN, MICHAEL",Wrecked Again,Light In The Attic,Folk/Rock,,826853010115,LP, $25.85 ,May-13
LITA111,"CHARLES, BOBBY",Bobby Charles,Light In The Attic,Rock-Pop,,826853011112,LP, $25.85 ,Feb-14
82388-0364-2,COMBICHRIST,Everybody Hates You,Metropolis ,Industrial / Electronic,,782388036429,CD, $12.24 ,Mar-05
